environment,scenario,session,device,sub_path,raw_file,raw_relative_path,extracted_csv_relative_path,has_extracted_csv,label_status,label_source,notes
new_building,st_L5,2025.07.29.20.16_新主楼,HUAWEI_Mate40,,gnss_log_2025_07_29_20_16_16.txt,new_building/st_L5/2025.07.29.20.16_新主楼/HUAWEI_Mate40/gnss_log_2025_07_29_20_16_16.txt,new_building/st_L5/2025.07.29.20.16_新主楼/HUAWEI_Mate40/gnss_log_2025_07_29_20_16_16.csv,yes,reviewed,session_config,
new_building,st_L5,2025.07.29.20.16_新主楼,RedMi_K60,,gnss_log_2025_07_29_20_16_18.txt,new_building/st_L5/2025.07.29.20.16_新主楼/RedMi_K60/gnss_log_2025_07_29_20_16_18.txt,new_building/st_L5/2025.07.29.20.16_新主楼/RedMi_K60/gnss_log_2025_07_29_20_16_18.csv,yes,reviewed,session_config,
new_building,st_L5,2025.07.29.20.16_新主楼,XiaoMi_MI8,,gnss_log_2025_07_29_20_16_15.txt,new_building/st_L5/2025.07.29.20.16_新主楼/XiaoMi_MI8/gnss_log_2025_07_29_20_16_15.txt,new_building/st_L5/2025.07.29.20.16_新主楼/XiaoMi_MI8/gnss_log_2025_07_29_20_16_15.csv,yes,reviewed,session_config,
new_building,st_L5,2025.07.29.20.36_新主楼,RedMi_K60,,gnss_log_2025_07_29_20_36_37.txt,new_building/st_L5/2025.07.29.20.36_新主楼/RedMi_K60/gnss_log_2025_07_29_20_36_37.txt,new_building/st_L5/2025.07.29.20.36_新主楼/RedMi_K60/gnss_log_2025_07_29_20_36_37.csv,yes,reviewed,session_config,
new_building,st_L_15,2025.07.29.18.42_新主楼,Google_Pixel_Watch1,,log_mimir_20250729184252.txt,new_building/st_L_15/2025.07.29.18.42_新主楼/Google_Pixel_Watch1/log_mimir_20250729184252.txt,new_building/st_L_15/2025.07.29.18.42_新主楼/Google_Pixel_Watch1/log_mimir_20250729184252.csv,yes,reviewed,session_config,
new_building,st_L_15,2025.07.29.18.42_新主楼,Google_Pixel_Watch2,,log_mimir_20250729184256.txt,new_building/st_L_15/2025.07.29.18.42_新主楼/Google_Pixel_Watch2/log_mimir_20250729184256.txt,new_building/st_L_15/2025.07.29.18.42_新主楼/Google_Pixel_Watch2/log_mimir_20250729184256.csv,yes,reviewed,session_config,
new_building,st_L_15,2025.07.29.18.42_新主楼,XiaoMi_MI8,,gnss_log_2025_07_29_18_42_35.txt,new_building/st_L_15/2025.07.29.18.42_新主楼/XiaoMi_MI8/gnss_log_2025_07_29_18_42_35.txt,new_building/st_L_15/2025.07.29.18.42_新主楼/XiaoMi_MI8/gnss_log_2025_07_29_18_42_35.csv,yes,reviewed,session_config,
playground,dy_L1,2022.07.08semicircle,HUAWEI,,gnss_log_2022_07_08_21_45_20.txt,playground/dy_L1/2022.07.08semicircle/HUAWEI/gnss_log_2022_07_08_21_45_20.txt,playground/dy_L1/2022.07.08semicircle/HUAWEI/gnss_log_2022_07_08_21_45_20.csv,yes,reviewed,scenario_fallback,
playground,dy_L1,2022.07.08semicircle,HUAWEI,,gnss_log_2022_07_08_21_57_34.txt,playground/dy_L1/2022.07.08semicircle/HUAWEI/gnss_log_2022_07_08_21_57_34.txt,playground/dy_L1/2022.07.08semicircle/HUAWEI/gnss_log_2022_07_08_21_57_34.csv,yes,reviewed,scenario_fallback,
playground,dy_L1,2022.07.08semicircle,Xiaomi_MI_8,,gnss_log_2022_07_08_21_45_09.txt,playground/dy_L1/2022.07.08semicircle/Xiaomi_MI_8/gnss_log_2022_07_08_21_45_09.txt,playground/dy_L1/2022.07.08semicircle/Xiaomi_MI_8/gnss_log_2022_07_08_21_45_09.csv,yes,reviewed,scenario_fallback,
